hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,,,,,,,,,,,,,,,,"3,1,3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_066.mp4,trial_066,0.8607784031727543,8.117580000000032,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_067.mp4,trial_067,0.932164008980586,12.848498323238887,0.0
,,,,,,,,,,,,,,,,,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_068.mp4,trial_068,0.9046157222013047,12.293302644452396,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_069.mp4,trial_069,0.8007246524816909,7.589858280100566,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_070.mp4,trial_070,2.159466562514807,15.06390835274911,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_071.mp4,trial_071,2.0621210003104036,10.397208752790881,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_072.mp4,trial_072,0.42812339858526327,4.567259015656965,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_072.mp4,trial_072,0.42812339858526327,4.567259015656965,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_073.mp4,trial_073,1.429238285981996,13.884064139127263,0.0
,,,,,,,,,,,,,,,,,"3,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_074.mp4,trial_074,2.0305284005464115,9.562591286910699,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_075.mp4,trial_075,0.49274872790887847,18.295650000000023,0.0
,,,,,,,,,,,,,,,,,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_076.mp4,trial_076,0.6381734349301008,7.502636670217997,0.0
